Model,psnr,ssim,entropy,edge,time_ms
AOD-Net,22.035300000000003,0.9045670000000001,7.117681000000001,0.9089669999999999,286.847
Attention-UNet,24.625799999999995,0.9135810000000001,7.323202000000001,1.0495899999999998,869.2230000000001
GAN,17.032799999999998,0.568771,7.040057999999999,0.21876599999999996,1136.907
